"","x"
"1",8.585567989
"2",9.72907281
"3",8.614864676
"4",9.561366625
"5",10.18119626
"6",9.33900641
"7",9.272769812
"8",9.31539977
"9",8.665769387
"10",9.488072954
"11",8.319039671
"12",10.00861105
"13",10.58376838
"14",11.45038501
"15",4.90744303
"16",8.265178526
"17",8.926746785
"18",9.733599574
"19",6.65173322
"20",10.46863
"21",10.41824453
"22",11.20312338
"23",11.29451148
"24",8.571247726
"25",10.29324501
"26",11.63727685
"27",8.823198991
"28",10.11685259
"29",8.672608099
"30",10.58835299
"31",10.65508214
"32",9.414454861
"33",9.032857059
"34",6.276183671
"35",7.403872214
"36",7.579180678
"37",8.305872937
"38",12.13955319
"39",7.545098308
"40",11.35595196
"41",6.610553427
"42",10.6198437
"43",9.202834449
"44",6.570795427
"45",6.875322103
"46",9.507162529
"47",10.98535648
"48",8.193405516
"49",11.0616955
"50",10.69476005
"51",7.4285071
"52",8.564800283
"53",8.596259051
"54",10.69216842
"55",10.26993491
"56",10.32496979
"57",8.85801453
"58",10.06689625
"59",9.663779237
"60",11.12915126
"61",11.7655075
"62",8.508655575
"63",9.761018765
"64",9.301838738
"65",11.87715925
"66",8.030378344
"67",8.863695499
"68",7.058026287
"69",13.02645462
"70",8.222239559
"71",7.523396328
"72",3.539101235
"73",8.337525244
"74",9.861236706
"75",8.830110536
"76",8.408417936
"77",5.829441221
"78",10.34905524
"79",9.558241348
"80",10.86729644
"81",14.59181356
"82",8.68396717
"83",7.396779438
"84",7.608643223
"85",10.93783287
"86",6.854942346
"87",7.886067211
"88",7.61928629
"89",5.929017145
"90",11.98810531
"91",7.252325798
"92",6.23443549
"93",8.982322772
"94",10.28449283
"95",8.38036013
"96",6.571863602
"97",8.250959408
"98",7.33341819
"99",9.643817785
"100",8.103037049
"101",7.446058569
"102",6.152808726
"103",10.17832646
"104",9.747682024
"105",7.390819596
"106",8.166626688
"107",8.052808416
"108",12.17147296
"109",9.5833371
"110",9.198707933
"111",8.017111682
"112",9.062732603
"113",10.37020053
"114",12.92701182
"115",10.20653142
"116",13.5362908
"117",7.771980259
"118",9.096098494
"119",8.064211372
"120",3.639701602
"121",11.35102494
"122",10.08239396
"123",11.435185
"124",11.22271519
"125",8.528002052
"126",9.694994058
"127",5.624623115
"128",7.988064673
"129",9.173120804
"130",9.712722609
"131",8.841785416
"132",9.020501929
"133",11.66930393
"134",9.703995197
"135",7.879190245
"136",9.808542355
"137",9.974737055
"138",10.30513655
"139",9.084475149
"140",6.21625145
"141",7.313644603
"142",9.558523485
"143",6.644698585
"144",12.16527922
"145",7.496967987
"146",8.418011183
"147",11.6914457
"148",12.93993037
"149",8.163848153
"150",9.295917447
"151",9.895634302
"152",10.54041887
"153",5.01643433
"154",9.932845549
"155",7.761439097
"156",10.26514599
"157",10.94828865
"158",9.989485798
"159",9.989913748
"160",9.261115811
"161",11.97206721
"162",12.03282334
"163",8.485582205
"164",12.35925117
"165",11.26636645
"166",9.971462528
"167",10.33655586
"168",8.876465121
"169",10.83750462
"170",8.935329232
"171",9.354145952
"172",10.3595769
"173",12.70768592
"174",10.70809656
"175",7.351426933
"176",9.70472131
"177",9.843871576
"178",5.532386408
"179",9.860872596
"180",7.366566006
"181",7.566873245
"182",10.12155702
"183",8.589295259
"184",9.561286466
"185",7.556001213
"186",12.98637532
"187",5.125259737
"188",12.29826476
"189",12.63109135
"190",13.25839748
"191",10.67271725
"192",6.998788154
"193",8.599438089
"194",7.456582439
"195",11.49103058
"196",8.195918386
"197",6.632038269
"198",7.582426753
"199",6.203059772
"200",7.917518091
"201",8.105016656
"202",8.893345608
"203",7.534380024
"204",12.47146421
"205",9.349544052
"206",9.908329625
"207",6.135528632
"208",12.03559538
"209",11.11731473
"210",11.71377601
"211",7.670237138
"212",10.04658876
"213",11.11890556
"214",11.29403109
"215",11.08727175
"216",8.503596221
"217",12.50816593
"218",10.12380841
"219",10.97208495
"220",10.27136659
"221",9.002199929
"222",8.107812229
"223",3.750707984
"224",9.861070632
"225",3.781489194
"226",9.580398827
"227",8.979175485
"228",5.808223753
"229",8.047120737
"230",12.68238927
"231",9.592282946
"232",9.429452572
"233",7.508704534
"234",9.525022229
"235",9.962427791
"236",10.23826693
"237",11.42512167
"238",8.940233279
"239",10.16498699
"240",9.565767725
"241",8.827009999
"242",11.91073351
"243",10.72373092
"244",6.11031253
"245",10.14386785
"246",8.571168761
"247",11.87057066
"248",8.45578635
"249",13.47339305
"250",9.307676804
"251",11.06894761
"252",8.30920834
"253",8.775303687
"254",13.48152843
"255",10.04043942
"256",12.28215995
"257",10.75415458
"258",9.293541433
"259",9.914186099
"260",8.471850771
"261",8.795748654
"262",11.17859395
"263",7.765808479
"264",12.07183096
"265",12.7973974
"266",12.42238179
"267",9.415138117
"268",8.903770131
"269",7.794631361
"270",7.537667687
"271",11.2094842
"272",8.631415595
"273",11.46885127
"274",9.082040358
